channel     z-pos[mm]   phi-pos[rad]
4960        63          1.79606     
4961        67          1.79606     
4962        71          1.79606     
4963        75          1.79606     
4964        79          1.79606     
4965        83          1.79606     
4966        87          1.79606     
4967        91          1.79606     
4968        95          1.79606     
4969        99          1.79606     
4970        103         1.79606     
4971        107         1.79606     
4972        111         1.79606     
4973        115         1.79606     
4974        119         1.79606     
4975        123         1.79606     
4976        127         1.79606     
4977        131         1.79606     
4978        135         1.79606     
4979        139         1.79606     
4980        143         1.79606     
4981        147         1.79606     
4982        151         1.79606     
4983        155         1.79606     
4984        159         1.79606     
4985        163         1.79606     
4986        167         1.79606     
4987        171         1.79606     
4988        175         1.79606     
4989        179         1.79606     
4990        183         1.79606     
4991        187         1.79606     
4992        -190        1.83094     
4993        -186        1.83094     
4994        -182        1.83094     
4995        -178        1.83094     
4996        -174        1.83094     
4997        -170        1.83094     
4998        -166        1.83094     
4999        -162        1.83094     
5000        -158        1.83094     
5001        -154        1.83094     
5002        -150        1.83094     
5003        -146        1.83094     
5004        -142        1.83094     
5005        -138        1.83094     
5006        -134        1.83094     
5007        -130        1.83094     
5008        -126        1.83094     
5009        -122        1.83094     
5010        -118        1.83094     
5011        -114        1.83094     
5012        -110        1.83094     
5013        -106        1.83094     
5014        -102        1.83094     
5015        -98         1.83094     
5016        -94         1.83094     
5017        -90         1.83094     
5018        -86         1.83094     
5019        -82         1.83094     
5020        -78         1.83094     
5021        -74         1.83094     
5022        -70         1.83094     
5023        -66         1.83094     
5024        -62         1.83094     
5025        -58         1.83094     
5026        -54         1.83094     
5027        -50         1.83094     
5028        -46         1.83094     
5029        -42         1.83094     
5030        -38         1.83094     
5031        -34         1.83094     
5032        -30         1.83094     
5033        -26         1.83094     
5034        -22         1.83094     
5035        -18         1.83094     
5036        -14         1.83094     
5037        -10         1.83094     
5038        -6          1.83094     
5039        -2          1.83094     
5040        2           1.83094     
5041        6           1.83094     
5042        10          1.83094     
5043        14          1.83094     
5044        18          1.83094     
5045        22          1.83094     
5046        26          1.83094     
5047        30          1.83094     
5048        34          1.83094     
5049        38          1.83094     
5050        42          1.83094     
5051        46          1.83094     
5052        50          1.83094     
5053        54          1.83094     
5054        58          1.83094     
5055        62          1.83094     
5056        66          1.83094     
5057        70          1.83094     
5058        74          1.83094     
5059        78          1.83094     
5060        82          1.83094     
5061        86          1.83094     
5062        90          1.83094     
5063        94          1.83094     
5064        98          1.83094     
5065        102         1.83094     
5066        106         1.83094     
5067        110         1.83094     
5068        114         1.83094     
5069        118         1.83094     
5070        122         1.83094     
5071        126         1.83094     
5072        130         1.83094     
5073        134         1.83094     
5074        138         1.83094     
5075        142         1.83094     
5076        146         1.83094     
5077        150         1.83094     
5078        154         1.83094     
5079        158         1.83094     
5080        162         1.83094     
5081        166         1.83094     
5082        170         1.83094     
5083        174         1.83094     
5084        178         1.83094     
5085        182         1.83094     
5086        186         1.83094     
5087        190         1.83094     
5088        -191        1.86581     
5089        -187        1.86581     
5090        -183        1.86581     
5091        -179        1.86581     
5092        -175        1.86581     
5093        -171        1.86581     
5094        -167        1.86581     
5095        -163        1.86581     
5096        -159        1.86581     
5097        -155        1.86581     
5098        -151        1.86581     
5099        -147        1.86581     
5100        -143        1.86581     
5101        -139        1.86581     
5102        -135        1.86581     
5103        -131        1.86581     
5104        -127        1.86581     
5105        -123        1.86581     
5106        -119        1.86581     
5107        -115        1.86581     
5108        -111        1.86581     
5109        -107        1.86581     
5110        -103        1.86581     
5111        -99         1.86581     
5112        -95         1.86581     
5113        -91         1.86581     
5114        -87         1.86581     
5115        -83         1.86581     
5116        -79         1.86581     
5117        -75         1.86581     
5118        -71         1.86581     
5119        -67         1.86581     
5120        -63         1.86581     
5121        -59         1.86581     
5122        -55         1.86581     
5123        -51         1.86581     
5124        -47         1.86581     
5125        -43         1.86581     
5126        -39         1.86581     
5127        -35         1.86581     
5128        -31         1.86581     
5129        -27         1.86581     
5130        -23         1.86581     
5131        -19         1.86581     
5132        -15         1.86581     
5133        -11         1.86581     
5134        -7          1.86581     
5135        -3          1.86581     
5136        1           1.86581     
5137        5           1.86581     
5138        9           1.86581     
5139        13          1.86581     
5140        17          1.86581     
5141        21          1.86581     
5142        25          1.86581     
5143        29          1.86581     
5144        33          1.86581     
5145        37          1.86581     
5146        41          1.86581     
5147        45          1.86581     
5148        49          1.86581     
5149        53          1.86581     
5150        57          1.86581     
5151        61          1.86581     
5152        65          1.86581     
5153        69          1.86581     
5154        73          1.86581     
5155        77          1.86581     
5156        81          1.86581     
5157        85          1.86581     
5158        89          1.86581     
5159        93          1.86581     
5160        97          1.86581     
5161        101         1.86581     
5162        105         1.86581     
5163        109         1.86581     
5164        113         1.86581     
5165        117         1.86581     
5166        121         1.86581     
5167        125         1.86581     
5168        129         1.86581     
5169        133         1.86581     
5170        137         1.86581     
5171        141         1.86581     
5172        145         1.86581     
5173        149         1.86581     
5174        153         1.86581     
5175        157         1.86581     
5176        161         1.86581     
5177        165         1.86581     
5178        169         1.86581     
5179        173         1.86581     
5180        177         1.86581     
5181        181         1.86581     
5182        185         1.86581     
5183        189         1.86581     
5184        -192        1.90069     
5185        -188        1.90069     
5186        -184        1.90069     
5187        -180        1.90069     
5188        -176        1.90069     
5189        -172        1.90069     
5190        -168        1.90069     
5191        -164        1.90069     
5192        -160        1.90069     
5193        -156        1.90069     
5194        -152        1.90069     
5195        -148        1.90069     
5196        -144        1.90069     
5197        -140        1.90069     
5198        -136        1.90069     
5199        -132        1.90069     
5200        -128        1.90069     
5201        -124        1.90069     
5202        -120        1.90069     
5203        -116        1.90069     
5204        -112        1.90069     
5205        -108        1.90069     
5206        -104        1.90069     
5207        -100        1.90069     
5208        -96         1.90069     
5209        -92         1.90069     
5210        -88         1.90069     
5211        -84         1.90069     
5212        -80         1.90069     
5213        -76         1.90069     
5214        -72         1.90069     
5215        -68         1.90069     
5216        -64         1.90069     
5217        -60         1.90069     
5218        -56         1.90069     
5219        -52         1.90069     
5220        -48         1.90069     
5221        -44         1.90069     
5222        -40         1.90069     
5223        -36         1.90069     
5224        -32         1.90069     
5225        -28         1.90069     
5226        -24         1.90069     
5227        -20         1.90069     
5228        -16         1.90069     
5229        -12         1.90069     
5230        -8          1.90069     
5231        -4          1.90069     
5232        0           1.90069     
5233        4           1.90069     
5234        8           1.90069     
5235        12          1.90069     
5236        16          1.90069     
5237        20          1.90069     
5238        24          1.90069     
5239        28          1.90069     
5240        32          1.90069     
5241        36          1.90069     
5242        40          1.90069     
5243        44          1.90069     
5244        48          1.90069     
5245        52          1.90069     
5246        56          1.90069     
5247        60          1.90069     
5248        64          1.90069     
5249        68          1.90069     
5250        72          1.90069     
5251        76          1.90069     
5252        80          1.90069     
5253        84          1.90069     
5254        88          1.90069     
5255        92          1.90069     
5256        96          1.90069     
5257        100         1.90069     
5258        104         1.90069     
5259        108         1.90069     
5260        112         1.90069     
5261        116         1.90069     
5262        120         1.90069     
5263        124         1.90069     
5264        128         1.90069     
5265        132         1.90069     
5266        136         1.90069     
5267        140         1.90069     
5268        144         1.90069     
5269        148         1.90069     
5270        152         1.90069     
5271        156         1.90069     
5272        160         1.90069     
5273        164         1.90069     
5274        168         1.90069     
5275        172         1.90069     
5276        176         1.90069     
5277        180         1.90069     
5278        184         1.90069     
5279        188         1.90069     
5280        -193        1.93556     
5281        -189        1.93556     
5282        -185        1.93556     
5283        -181        1.93556     
5284        -177        1.93556     
5285        -173        1.93556     
5286        -169        1.93556     
5287        -165        1.93556     
5288        -161        1.93556     
5289        -157        1.93556     
5290        -153        1.93556     
5291        -149        1.93556     
5292        -145        1.93556     
5293        -141        1.93556     
5294        -137        1.93556     
5295        -133        1.93556     
5296        -129        1.93556     
5297        -125        1.93556     
5298        -121        1.93556     
5299        -117        1.93556     
5300        -113        1.93556     
5301        -109        1.93556     
5302        -105        1.93556     
5303        -101        1.93556     
5304        -97         1.93556     
5305        -93         1.93556     
5306        -89         1.93556     
5307        -85         1.93556     
5308        -81         1.93556     
5309        -77         1.93556     
5310        -73         1.93556     
5311        -69         1.93556     
5312        -65         1.93556     
5313        -61         1.93556     
5314        -57         1.93556     
5315        -53         1.93556     
5316        -49         1.93556     
5317        -45         1.93556     
5318        -41         1.93556     
5319        -37         1.93556     
5320        -33         1.93556     
5321        -29         1.93556     
5322        -25         1.93556     
5323        -21         1.93556     
5324        -17         1.93556     
5325        -13         1.93556     
5326        -9          1.93556     
5327        -5          1.93556     
5328        -1          1.93556     
5329        3           1.93556     
5330        7           1.93556     
5331        11          1.93556     
5332        15          1.93556     
5333        19          1.93556     
5334        23          1.93556     
5335        27          1.93556     
5336        31          1.93556     
5337        35          1.93556     
5338        39          1.93556     
5339        43          1.93556     
5340        47          1.93556     
5341        51          1.93556     
5342        55          1.93556     
5343        59          1.93556     
5344        63          1.93556     
5345        67          1.93556     
5346        71          1.93556     
5347        75          1.93556     
5348        79          1.93556     
5349        83          1.93556     
5350        87          1.93556     
5351        91          1.93556     
5352        95          1.93556     
5353        99          1.93556     
5354        103         1.93556     
5355        107         1.93556     
5356        111         1.93556     
5357        115         1.93556     
5358        119         1.93556     
5359        123         1.93556     
5360        127         1.93556     
5361        131         1.93556     
5362        135         1.93556     
5363        139         1.93556     
5364        143         1.93556     
5365        147         1.93556     
5366        151         1.93556     
5367        155         1.93556     
5368        159         1.93556     
5369        163         1.93556     
5370        167         1.93556     
5371        171         1.93556     
5372        175         1.93556     
5373        179         1.93556     
5374        183         1.93556     
5375        187         1.93556     
5376        -190        1.97044     
5377        -186        1.97044     
5378        -182        1.97044     
5379        -178        1.97044     
5380        -174        1.97044     
5381        -170        1.97044     
5382        -166        1.97044     
5383        -162        1.97044     
5384        -158        1.97044     
5385        -154        1.97044     
5386        -150        1.97044     
5387        -146        1.97044     
5388        -142        1.97044     
5389        -138        1.97044     
5390        -134        1.97044     
5391        -130        1.97044     
5392        -126        1.97044     
5393        -122        1.97044     
5394        -118        1.97044     
5395        -114        1.97044     
5396        -110        1.97044     
5397        -106        1.97044     
5398        -102        1.97044     
5399        -98         1.97044     
5400        -94         1.97044     
5401        -90         1.97044     
5402        -86         1.97044     
5403        -82         1.97044     
5404        -78         1.97044     
5405        -74         1.97044     
5406        -70         1.97044     
5407        -66         1.97044     
5408        -62         1.97044     
5409        -58         1.97044     
5410        -54         1.97044     
5411        -50         1.97044     
5412        -46         1.97044     
5413        -42         1.97044     
5414        -38         1.97044     
5415        -34         1.97044     
5416        -30         1.97044     
5417        -26         1.97044     
5418        -22         1.97044     
5419        -18         1.97044     
5420        -14         1.97044     
5421        -10         1.97044     
5422        -6          1.97044     
5423        -2          1.97044     
5424        2           1.97044     
5425        6           1.97044     
5426        10          1.97044     
5427        14          1.97044     
5428        18          1.97044     
5429        22          1.97044     
5430        26          1.97044     
5431        30          1.97044     
5432        34          1.97044     
5433        38          1.97044     
5434        42          1.97044     
5435        46          1.97044     
5436        50          1.97044     
5437        54          1.97044     
5438        58          1.97044     
5439        62          1.97044     
5440        66          1.97044     
5441        70          1.97044     
5442        74          1.97044     
5443        78          1.97044     
5444        82          1.97044     
5445        86          1.97044     
5446        90          1.97044     
5447        94          1.97044     
5448        98          1.97044     
5449        102         1.97044     
5450        106         1.97044     
5451        110         1.97044     
5452        114         1.97044     
5453        118         1.97044     
5454        122         1.97044     
5455        126         1.97044     
5456        130         1.97044     
5457        134         1.97044     
5458        138         1.97044     
5459        142         1.97044     
5460        146         1.97044     
5461        150         1.97044     
5462        154         1.97044     
5463        158         1.97044     
5464        162         1.97044     
5465        166         1.97044     
5466        170         1.97044     
5467        174         1.97044     
5468        178         1.97044     
5469        182         1.97044     
5470        186         1.97044     
5471        190         1.97044     
5472        -191        2.00531     
5473        -187        2.00531     
5474        -183        2.00531     
5475        -179        2.00531     
5476        -175        2.00531     
5477        -171        2.00531     
5478        -167        2.00531     
5479        -163        2.00531     
5480        -159        2.00531     
5481        -155        2.00531     
5482        -151        2.00531     
5483        -147        2.00531     
5484        -143        2.00531     
5485        -139        2.00531     
5486        -135        2.00531     
5487        -131        2.00531     
5488        -127        2.00531     
5489        -123        2.00531     
5490        -119        2.00531     
5491        -115        2.00531     
5492        -111        2.00531     
5493        -107        2.00531     
5494        -103        2.00531     
5495        -99         2.00531     
5496        -95         2.00531     
5497        -91         2.00531     
5498        -87         2.00531     
5499        -83         2.00531     
5500        -79         2.00531     
5501        -75         2.00531     
5502        -71         2.00531     
5503        -67         2.00531     
5504        -63         2.00531     
5505        -59         2.00531     
5506        -55         2.00531     
5507        -51         2.00531     
5508        -47         2.00531     
5509        -43         2.00531     
5510        -39         2.00531     
5511        -35         2.00531     
5512        -31         2.00531     
5513        -27         2.00531     
5514        -23         2.00531     
5515        -19         2.00531     
5516        -15         2.00531     
5517        -11         2.00531     
5518        -7          2.00531     
5519        -3          2.00531     
5520        1           2.00531     
5521        5           2.00531     
5522        9           2.00531     
5523        13          2.00531     
5524        17          2.00531     
5525        21          2.00531     
5526        25          2.00531     
5527        29          2.00531     
5528        33          2.00531     
5529        37          2.00531     
5530        41          2.00531     
5531        45          2.00531     
5532        49          2.00531     
5533        53          2.00531     
5534        57          2.00531     
5535        61          2.00531     
5536        65          2.00531     
5537        69          2.00531     
5538        73          2.00531     
5539        77          2.00531     
5540        81          2.00531     
5541        85          2.00531     
5542        89          2.00531     
5543        93          2.00531     
5544        97          2.00531     
5545        101         2.00531     
5546        105         2.00531     
5547        109         2.00531     
5548        113         2.00531     
5549        117         2.00531     
5550        121         2.00531     
5551        125         2.00531     
5552        129         2.00531     
5553        133         2.00531     
5554        137         2.00531     
5555        141         2.00531     
5556        145         2.00531     
5557        149         2.00531     
5558        153         2.00531     
5559        157         2.00531     
5560        161         2.00531     
5561        165         2.00531     
5562        169         2.00531     
5563        173         2.00531     
5564        177         2.00531     
5565        181         2.00531     
5566        185         2.00531     
5567        189         2.00531     
5568        -192        2.04019     
5569        -188        2.04019     
5570        -184        2.04019     
5571        -180        2.04019     
5572        -176        2.04019     
5573        -172        2.04019     
5574        -168        2.04019     
5575        -164        2.04019     
5576        -160        2.04019     
5577        -156        2.04019     
5578        -152        2.04019     
5579        -148        2.04019     
5580        -144        2.04019     
5581        -140        2.04019     
5582        -136        2.04019     
5583        -132        2.04019     
5584        -128        2.04019     
5585        -124        2.04019     
5586        -120        2.04019     
5587        -116        2.04019     
5588        -112        2.04019     
5589        -108        2.04019     
5590        -104        2.04019     
5591        -100        2.04019     
5592        -96         2.04019     
5593        -92         2.04019     
5594        -88         2.04019     
5595        -84         2.04019     
5596        -80         2.04019     
5597        -76         2.04019     
5598        -72         2.04019     
5599        -68         2.04019     
5600        -64         2.04019     
5601        -60         2.04019     
5602        -56         2.04019     
5603        -52         2.04019     
5604        -48         2.04019     
5605        -44         2.04019     
5606        -40         2.04019     
5607        -36         2.04019     
5608        -32         2.04019     
5609        -28         2.04019     
5610        -24         2.04019     
5611        -20         2.04019     
5612        -16         2.04019     
5613        -12         2.04019     
5614        -8          2.04019     
5615        -4          2.04019     
5616        0           2.04019     
5617        4           2.04019     
5618        8           2.04019     
5619        12          2.04019     
5620        16          2.04019     
5621        20          2.04019     
5622        24          2.04019     
5623        28          2.04019     
5624        32          2.04019     
5625        36          2.04019     
5626        40          2.04019     
5627        44          2.04019     
5628        48          2.04019     
5629        52          2.04019     
5630        56          2.04019     
5631        60          2.04019     
5632        64          2.04019     
5633        68          2.04019     
5634        72          2.04019     
5635        76          2.04019     
5636        80          2.04019     
5637        84          2.04019     
5638        88          2.04019     
5639        92          2.04019     
5640        96          2.04019     
5641        100         2.04019     
5642        104         2.04019     
5643        108         2.04019     
5644        112         2.04019     
5645        116         2.04019     
5646        120         2.04019     
5647        124         2.04019     
5648        128         2.04019     
5649        132         2.04019     
5650        136         2.04019     
5651        140         2.04019     
5652        144         2.04019     
5653        148         2.04019     
5654        152         2.04019     
5655        156         2.04019     
5656        160         2.04019     
5657        164         2.04019     
5658        168         2.04019     
5659        172         2.04019     
5660        176         2.04019     
5661        180         2.04019     
5662        184         2.04019     
5663        188         2.04019     
5664        -193        2.07506     
5665        -189        2.07506     
5666        -185        2.07506     
5667        -181        2.07506     
5668        -177        2.07506     
5669        -173        2.07506     
5670        -169        2.07506     
5671        -165        2.07506     
5672        -161        2.07506     
5673        -157        2.07506     
5674        -153        2.07506     
5675        -149        2.07506     
5676        -145        2.07506     
5677        -141        2.07506     
5678        -137        2.07506     
5679        -133        2.07506     
5680        -129        2.07506     
5681        -125        2.07506     
5682        -121        2.07506     
5683        -117        2.07506     
5684        -113        2.07506     
5685        -109        2.07506     
5686        -105        2.07506     
5687        -101        2.07506     
5688        -97         2.07506     
5689        -93         2.07506     
5690        -89         2.07506     
5691        -85         2.07506     
5692        -81         2.07506     
5693        -77         2.07506     
5694        -73         2.07506     
5695        -69         2.07506     
5696        -65         2.07506     
5697        -61         2.07506     
5698        -57         2.07506     
5699        -53         2.07506     
5700        -49         2.07506     
5701        -45         2.07506     
5702        -41         2.07506     
5703        -37         2.07506     
5704        -33         2.07506     
5705        -29         2.07506     
5706        -25         2.07506     
5707        -21         2.07506     
5708        -17         2.07506     
5709        -13         2.07506     
5710        -9          2.07506     
5711        -5          2.07506     
5712        -1          2.07506     
5713        3           2.07506     
5714        7           2.07506     
5715        11          2.07506     
5716        15          2.07506     
5717        19          2.07506     
5718        23          2.07506     
5719        27          2.07506     
5720        31          2.07506     
5721        35          2.07506     
5722        39          2.07506     
5723        43          2.07506     
5724        47          2.07506     
5725        51          2.07506     
5726        55          2.07506     
5727        59          2.07506     
5728        63          2.07506     
5729        67          2.07506     
5730        71          2.07506     
5731        75          2.07506     
5732        79          2.07506     
5733        83          2.07506     
5734        87          2.07506     
5735        91          2.07506     
5736        95          2.07506     
5737        99          2.07506     
5738        103         2.07506     
5739        107         2.07506     
5740        111         2.07506     
5741        115         2.07506     
5742        119         2.07506     
5743        123         2.07506     
5744        127         2.07506     
5745        131         2.07506     
5746        135         2.07506     
5747        139         2.07506     
5748        143         2.07506     
5749        147         2.07506     
5750        151         2.07506     
5751        155         2.07506     
5752        159         2.07506     
5753        163         2.07506     
5754        167         2.07506     
5755        171         2.07506     
5756        175         2.07506     
5757        179         2.07506     
5758        183         2.07506     
5759        187         2.07506     
5760        -190        2.10994     
5761        -186        2.10994     
5762        -182        2.10994     
5763        -178        2.10994     
5764        -174        2.10994     
5765        -170        2.10994     
5766        -166        2.10994     
5767        -162        2.10994     
5768        -158        2.10994     
5769        -154        2.10994     
5770        -150        2.10994     
5771        -146        2.10994     
5772        -142        2.10994     
5773        -138        2.10994     
5774        -134        2.10994     
5775        -130        2.10994     
5776        -126        2.10994     
5777        -122        2.10994     
5778        -118        2.10994     
5779        -114        2.10994     
5780        -110        2.10994     
5781        -106        2.10994     
5782        -102        2.10994     
5783        -98         2.10994     
5784        -94         2.10994     
5785        -90         2.10994     
5786        -86         2.10994     
5787        -82         2.10994     
5788        -78         2.10994     
5789        -74         2.10994     
5790        -70         2.10994     
5791        -66         2.10994     
5792        -62         2.10994     
5793        -58         2.10994     
5794        -54         2.10994     
5795        -50         2.10994     
5796        -46         2.10994     
5797        -42         2.10994     
5798        -38         2.10994     
5799        -34         2.10994     
5800        -30         2.10994     
5801        -26         2.10994     
5802        -22         2.10994     
5803        -18         2.10994     
5804        -14         2.10994     
5805        -10         2.10994     
5806        -6          2.10994     
5807        -2          2.10994     
5808        2           2.10994     
5809        6           2.10994     
5810        10          2.10994     
5811        14          2.10994     
5812        18          2.10994     
5813        22          2.10994     
5814        26          2.10994     
5815        30          2.10994     
5816        34          2.10994     
5817        38          2.10994     
5818        42          2.10994     
5819        46          2.10994     
5820        50          2.10994     
5821        54          2.10994     
5822        58          2.10994     
5823        62          2.10994     
5824        66          2.10994     
5825        70          2.10994     
5826        74          2.10994     
5827        78          2.10994     
5828        82          2.10994     
5829        86          2.10994     
5830        90          2.10994     
5831        94          2.10994     
5832        98          2.10994     
5833        102         2.10994     
5834        106         2.10994     
5835        110         2.10994     
5836        114         2.10994     
5837        118         2.10994     
5838        122         2.10994     
5839        126         2.10994     
5840        130         2.10994     
5841        134         2.10994     
5842        138         2.10994     
5843        142         2.10994     
5844        146         2.10994     
5845        150         2.10994     
5846        154         2.10994     
5847        158         2.10994     
5848        162         2.10994     
5849        166         2.10994     
5850        170         2.10994     
5851        174         2.10994     
5852        178         2.10994     
5853        182         2.10994     
5854        186         2.10994     
5855        190         2.10994     
5856        -191        2.14481     
5857        -187        2.14481     
5858        -183        2.14481     
5859        -179        2.14481     
5860        -175        2.14481     
5861        -171        2.14481     
5862        -167        2.14481     
5863        -163        2.14481     
5864        -159        2.14481     
5865        -155        2.14481     
5866        -151        2.14481     
5867        -147        2.14481     
5868        -143        2.14481     
5869        -139        2.14481     
5870        -135        2.14481     
5871        -131        2.14481     
5872        -127        2.14481     
5873        -123        2.14481     
5874        -119        2.14481     
5875        -115        2.14481     
5876        -111        2.14481     
5877        -107        2.14481     
5878        -103        2.14481     
5879        -99         2.14481     
5880        -95         2.14481     
5881        -91         2.14481     
5882        -87         2.14481     
5883        -83         2.14481     
5884        -79         2.14481     
5885        -75         2.14481     
5886        -71         2.14481     
5887        -67         2.14481     
5888        -63         2.14481     
5889        -59         2.14481     
5890        -55         2.14481     
5891        -51         2.14481     
5892        -47         2.14481     
5893        -43         2.14481     
5894        -39         2.14481     
5895        -35         2.14481     
5896        -31         2.14481     
5897        -27         2.14481     
5898        -23         2.14481     
5899        -19         2.14481     
5900        -15         2.14481     
5901        -11         2.14481     
5902        -7          2.14481     
5903        -3          2.14481     
5904        1           2.14481     
5905        5           2.14481     
5906        9           2.14481     
5907        13          2.14481     
5908        17          2.14481     
5909        21          2.14481     
5910        25          2.14481     
5911        29          2.14481     
5912        33          2.14481     
5913        37          2.14481     
5914        41          2.14481     
5915        45          2.14481     
5916        49          2.14481     
5917        53          2.14481     
5918        57          2.14481     
5919        61          2.14481     
5920        65          2.14481     
5921        69          2.14481     
5922        73          2.14481     
5923        77          2.14481     
5924        81          2.14481     
5925        85          2.14481     
5926        89          2.14481     
5927        93          2.14481     
5928        97          2.14481     
5929        101         2.14481     
5930        105         2.14481     
5931        109         2.14481     
5932        113         2.14481     
5933        117         2.14481     
5934        121         2.14481     
5935        125         2.14481     
5936        129         2.14481     
5937        133         2.14481     
5938        137         2.14481     
5939        141         2.14481     
5940        145         2.14481     
5941        149         2.14481     
5942        153         2.14481     
5943        157         2.14481     
5944        161         2.14481     
5945        165         2.14481     
5946        169         2.14481     
5947        173         2.14481     
5948        177         2.14481     
5949        181         2.14481     
5950        185         2.14481     
5951        189         2.14481     
5952        -192        2.17969     
5953        -188        2.17969     
5954        -184        2.17969     
5955        -180        2.17969     
5956        -176        2.17969     
5957        -172        2.17969     
5958        -168        2.17969     
5959        -164        2.17969     
5960        -160        2.17969     
5961        -156        2.17969     
5962        -152        2.17969     
5963        -148        2.17969     
5964        -144        2.17969     
5965        -140        2.17969     
5966        -136        2.17969     
5967        -132        2.17969     
5968        -128        2.17969     
5969        -124        2.17969     
5970        -120        2.17969     
5971        -116        2.17969     
5972        -112        2.17969     
5973        -108        2.17969     
5974        -104        2.17969     
5975        -100        2.17969     
5976        -96         2.17969     
5977        -92         2.17969     
5978        -88         2.17969     
5979        -84         2.17969     
5980        -80         2.17969     
5981        -76         2.17969     
5982        -72         2.17969     
5983        -68         2.17969     
5984        -64         2.17969     
5985        -60         2.17969     
5986        -56         2.17969     
5987        -52         2.17969     
5988        -48         2.17969     
5989        -44         2.17969     
5990        -40         2.17969     
5991        -36         2.17969     
5992        -32         2.17969     
5993        -28         2.17969     
5994        -24         2.17969     
5995        -20         2.17969     
5996        -16         2.17969     
5997        -12         2.17969     
5998        -8          2.17969     
5999        -4          2.17969     
6000        0           2.17969     
6001        4           2.17969     
6002        8           2.17969     
6003        12          2.17969     
6004        16          2.17969     
6005        20          2.17969     
6006        24          2.17969     
6007        28          2.17969     
6008        32          2.17969     
6009        36          2.17969     
6010        40          2.17969     
6011        44          2.17969     
6012        48          2.17969     
6013        52          2.17969     
6014        56          2.17969     
6015        60          2.17969     
6016        64          2.17969     
6017        68          2.17969     
6018        72          2.17969     
6019        76          2.17969     
6020        80          2.17969     
6021        84          2.17969     
6022        88          2.17969     
6023        92          2.17969     
6024        96          2.17969     
6025        100         2.17969     
6026        104         2.17969     
6027        108         2.17969     
6028        112         2.17969     
6029        116         2.17969     
6030        120         2.17969     
6031        124         2.17969     
6032        128         2.17969     
6033        132         2.17969     
6034        136         2.17969     
6035        140         2.17969     
6036        144         2.17969     
6037        148         2.17969     
6038        152         2.17969     
6039        156         2.17969     
6040        160         2.17969     
6041        164         2.17969     
6042        168         2.17969     
6043        172         2.17969     
6044        176         2.17969     
6045        180         2.17969     
6046        184         2.17969     
6047        188         2.17969     
6048        -193        2.21456     
6049        -189        2.21456     
6050        -185        2.21456     
6051        -181        2.21456     
6052        -177        2.21456     
6053        -173        2.21456     
6054        -169        2.21456     
6055        -165        2.21456     
6056        -161        2.21456     
6057        -157        2.21456     
6058        -153        2.21456     
6059        -149        2.21456     
6060        -145        2.21456     
6061        -141        2.21456     
6062        -137        2.21456     
6063        -133        2.21456     
6064        -129        2.21456     
6065        -125        2.21456     
6066        -121        2.21456     
6067        -117        2.21456     
6068        -113        2.21456     
6069        -109        2.21456     
6070        -105        2.21456     
6071        -101        2.21456     
6072        -97         2.21456     
6073        -93         2.21456     
6074        -89         2.21456     
6075        -85         2.21456     
6076        -81         2.21456     
6077        -77         2.21456     
6078        -73         2.21456     
6079        -69         2.21456     
6080        -65         2.21456     
6081        -61         2.21456     
6082        -57         2.21456     
6083        -53         2.21456     
6084        -49         2.21456     
6085        -45         2.21456     
6086        -41         2.21456     
6087        -37         2.21456     
6088        -33         2.21456     
6089        -29         2.21456     
6090        -25         2.21456     
6091        -21         2.21456     
6092        -17         2.21456     
6093        -13         2.21456     
6094        -9          2.21456     
6095        -5          2.21456     
6096        -1          2.21456     
6097        3           2.21456     
6098        7           2.21456     
6099        11          2.21456     
6100        15          2.21456     
6101        19          2.21456     
6102        23          2.21456     
6103        27          2.21456     
6104        31          2.21456     
6105        35          2.21456     
6106        39          2.21456     
6107        43          2.21456     
6108        47          2.21456     
6109        51          2.21456     
6110        55          2.21456     
6111        59          2.21456     
6112        63          2.21456     
6113        67          2.21456     
6114        71          2.21456     
6115        75          2.21456     
6116        79          2.21456     
6117        83          2.21456     
6118        87          2.21456     
6119        91          2.21456     
6120        95          2.21456     
6121        99          2.21456     
6122        103         2.21456     
6123        107         2.21456     
6124        111         2.21456     
6125        115         2.21456     
6126        119         2.21456     
6127        123         2.21456     
6128        127         2.21456     
6129        131         2.21456     
6130        135         2.21456     
6131        139         2.21456     
6132        143         2.21456     
6133        147         2.21456     
6134        151         2.21456     
6135        155         2.21456     
6136        159         2.21456     
6137        163         2.21456     
6138        167         2.21456     
6139        171         2.21456     
6140        175         2.21456     
6141        179         2.21456     
6142        183         2.21456     
6143        187         2.21456     
6144        -190        2.24944     
6145        -186        2.24944     
6146        -182        2.24944     
6147        -178        2.24944     
6148        -174        2.24944     
6149        -170        2.24944     
6150        -166        2.24944     
6151        -162        2.24944     
6152        -158        2.24944     
6153        -154        2.24944     
6154        -150        2.24944     
6155        -146        2.24944     
6156        -142        2.24944     
6157        -138        2.24944     
6158        -134        2.24944     
6159        -130        2.24944     
6160        -126        2.24944     
6161        -122        2.24944     
6162        -118        2.24944     
6163        -114        2.24944     
6164        -110        2.24944     
6165        -106        2.24944     
6166        -102        2.24944     
6167        -98         2.24944     
6168        -94         2.24944     
6169        -90         2.24944     
6170        -86         2.24944     
6171        -82         2.24944     
6172        -78         2.24944     
6173        -74         2.24944     
6174        -70         2.24944     
