channel     z-pos[mm]   phi-pos[rad]
275         140         0.0871875   
276         144         0.0871875   
277         148         0.0871875   
278         152         0.0871875   
279         156         0.0871875   
280         160         0.0871875   
281         164         0.0871875   
282         168         0.0871875   
283         172         0.0871875   
284         176         0.0871875   
285         180         0.0871875   
286         184         0.0871875   
287         188         0.0871875   
288         -193        0.122062    
289         -189        0.122062    
290         -185        0.122062    
291         -181        0.122062    
292         -177        0.122062    
293         -173        0.122062    
294         -169        0.122062    
295         -165        0.122062    
296         -161        0.122062    
297         -157        0.122062    
298         -153        0.122062    
299         -149        0.122062    
300         -145        0.122062    
301         -141        0.122062    
302         -137        0.122062    
303         -133        0.122062    
304         -129        0.122062    
305         -125        0.122062    
306         -121        0.122062    
307         -117        0.122062    
308         -113        0.122062    
309         -109        0.122062    
310         -105        0.122062    
311         -101        0.122062    
312         -97         0.122062    
313         -93         0.122062    
314         -89         0.122062    
315         -85         0.122062    
316         -81         0.122062    
317         -77         0.122062    
318         -73         0.122062    
319         -69         0.122062    
320         -65         0.122062    
321         -61         0.122062    
322         -57         0.122062    
323         -53         0.122062    
324         -49         0.122062    
325         -45         0.122062    
326         -41         0.122062    
327         -37         0.122062    
328         -33         0.122062    
329         -29         0.122062    
330         -25         0.122062    
331         -21         0.122062    
332         -17         0.122062    
333         -13         0.122062    
334         -9          0.122062    
335         -5          0.122062    
336         -1          0.122062    
337         3           0.122062    
338         7           0.122062    
339         11          0.122062    
340         15          0.122062    
341         19          0.122062    
342         23          0.122062    
343         27          0.122062    
344         31          0.122062    
345         35          0.122062    
346         39          0.122062    
347         43          0.122062    
348         47          0.122062    
349         51          0.122062    
350         55          0.122062    
351         59          0.122062    
352         63          0.122062    
353         67          0.122062    
354         71          0.122062    
355         75          0.122062    
356         79          0.122062    
357         83          0.122062    
358         87          0.122062    
359         91          0.122062    
360         95          0.122062    
361         99          0.122062    
362         103         0.122062    
363         107         0.122062    
364         111         0.122062    
365         115         0.122062    
366         119         0.122062    
367         123         0.122062    
368         127         0.122062    
369         131         0.122062    
370         135         0.122062    
371         139         0.122062    
372         143         0.122062    
373         147         0.122062    
374         151         0.122062    
375         155         0.122062    
376         159         0.122062    
377         163         0.122062    
378         167         0.122062    
379         171         0.122062    
380         175         0.122062    
381         179         0.122062    
382         183         0.122062    
383         187         0.122062    
384         -190        0.156937    
385         -186        0.156937    
386         -182        0.156937    
387         -178        0.156937    
388         -174        0.156937    
389         -170        0.156937    
390         -166        0.156937    
391         -162        0.156937    
392         -158        0.156937    
393         -154        0.156937    
394         -150        0.156937    
395         -146        0.156937    
396         -142        0.156937    
397         -138        0.156937    
398         -134        0.156937    
399         -130        0.156937    
400         -126        0.156937    
401         -122        0.156937    
402         -118        0.156937    
403         -114        0.156937    
404         -110        0.156937    
405         -106        0.156937    
406         -102        0.156937    
407         -98         0.156937    
408         -94         0.156937    
409         -90         0.156937    
410         -86         0.156937    
411         -82         0.156937    
